id_nasabah,jumlah_pinjaman,pendapatan_bulanan,usia_nasabah,status_pekerjaan,Credit_Score,riwayat_kredit,tanggal_data
78,9000000,10000000,34,pns,635,buruk,2025-08-19
79,11000000,13000000,27,wirausaha,772,baik,2024-11-13
80,8000000,9000000,18,wirausaha,733,baik,2025-07-11
81,10000000,11000000,20,pns,695,baik,2025-01-28
82,9000000,10000000,32,karyawan_swasta,732,baik,2024-11-20
83,13000000,15000000,50,wirausaha,696,baik,2025-07-29
84,8000000,7000000,18,karyawan_swasta,705,baik,2025-05-11
85,11000000,9000000,48,wirausaha,747,buruk,2024-12-21
86,13000000,11000000,18,karyawan_swasta,696,baik,2025-01-25
87,7000000,8000000,42,karyawan_swasta,668,buruk,2024-09-26
88,9000000,10000000,43,karyawan_swasta,746,baik,2024-10-24
89,6000000,5000000,39,wirausaha,685,baik,2025-05-16
90,13000000,11000000,18,karyawan_swasta,585,buruk,2025-02-11
91,17000000,19000000,18,karyawan_swasta,751,baik,2024-11-20
92,7000000,6000000,29,wirausaha,769,baik,2025-02-23
93,6000000,7000000,23,wirausaha,673,baik,2024-10-10
94,17000000,20000000,67,wirausaha,749,baik,2024-12-21
95,9000000,10000000,26,karyawan_swasta,520,buruk,2025-06-29
96,11000000,13000000,37,wirausaha,638,baik,2025-05-22
97,6000000,7000000,40,wirausaha,701,baik,2024-11-09
98,5000000,6000000,56,wirausaha,749,baik,2024-11-25
99,10000000,8000000,28,wirausaha,691,baik,2025-03-30
100,5000000,6000000,18,karyawan_swasta,754,baik,2025-07-30
101,7000000,8000000,33,wirausaha,695,baik,2024-11-17
102,16000000,13000000,22,wirausaha,669,baik,2025-04-04
103,13000000,11000000,32,wirausaha,684,baik,2024-11-19
104,8000000,9000000,39,wirausaha,674,baik,2025-08-20
105,15000000,12000000,21,karyawan_swasta,774,baik,2024-12-06
106,7000000,6000000,39,wirausaha,704,baik,2025-07-12
107,10000000,12000000,48,karyawan_swasta,756,baik,2024-11-27
108,16000000,18000000,39,karyawan_swasta,686,baik,2025-01-11
109,13000000,11000000,38,karyawan_swasta,819,baik,2025-04-27
110,10000000,12000000,18,wirausaha,646,baik,2024-10-07
111,6000000,5000000,25,karyawan_swasta,766,baik,2025-08-21
112,5000000,6000000,18,karyawan_swasta,738,baik,2025-05-21
113,14000000,12000000,18,karyawan_swasta,702,baik,2024-09-30
114,11000000,13000000,34,karyawan_swasta,606,baik,2024-10-07
115,15000000,17000000,22,wirausaha,617,buruk,2024-11-25
116,8000000,9000000,57,karyawan_swasta,572,baik,2025-01-05
117,7000000,8000000,19,karyawan_swasta,653,baik,2024-11-30
118,7000000,8000000,28,wirausaha,815,baik,2025-09-05
119,5000000,6000000,50,wirausaha,662,baik,2024-11-04
120,15000000,12000000,57,karyawan_swasta,684,baik,2025-07-19
121,7000000,8000000,40,karyawan_swasta,850,baik,2025-05-27
122,12000000,14000000,50,wirausaha,612,buruk,2025-04-30
123,13000000,15000000,30,karyawan_swasta,664,baik,2025-07-26
124,15000000,17000000,45,wirausaha,764,baik,2025-07-09
125,12000000,14000000,54,wirausaha,647,baik,2024-12-21
126,8000000,9000000,24,pns,582,baik,2025-02-20
127,11000000,12000000,44,wirausaha,666,baik,2025-07-26
128,5000000,6000000,26,pns,760,baik,2025-07-22
129,9000000,8000000,31,karyawan_swasta,592,baik,2025-05-11
130,10000000,12000000,32,wirausaha,531,buruk,2024-11-24
131,15000000,17000000,46,karyawan_swasta,719,baik,2025-08-11
132,13000000,11000000,28,pns,596,baik,2025-01-20
133,10000000,8000000,56,karyawan_swasta,720,baik,2025-02-02
134,14000000,15000000,31,wirausaha,808,baik,2025-03-29
135,14000000,16000000,22,wirausaha,655,baik,2025-03-31
136,10000000,9000000,33,pns,732,baik,2024-11-04
137,7000000,8000000,26,karyawan_swasta,647,baik,2025-06-24
138,12000000,10000000,19,pns,787,buruk,2025-07-08
139,11000000,13000000,40,wirausaha,732,baik,2024-12-18
140,11000000,13000000,33,pns,657,baik,2024-12-12
141,15000000,12000000,41,karyawan_swasta,738,baik,2025-02-06
142,10000000,12000000,68,wirausaha,680,baik,2025-03-22
143,9000000,7000000,48,karyawan_swasta,657,baik,2025-03-30
144,15000000,13000000,55,wirausaha,670,baik,2024-12-31
145,10000000,8000000,43,wirausaha,625,baik,2025-08-25
146,5000000,6000000,34,karyawan_swasta,732,baik,2025-01-01
147,11000000,13000000,42,karyawan_swasta,728,baik,2025-05-25
148,9000000,7000000,21,wirausaha,642,baik,2025-08-17
149,9000000,10000000,39,wirausaha,709,baik,2025-08-12
150,8000000,9000000,40,karyawan_swasta,742,baik,2025-03-10
151,9000000,10000000,26,wirausaha,604,baik,2025-04-13
152,5000000,4000000,43,wirausaha,692,baik,2024-11-21
153,13000000,15000000,24,wirausaha,643,baik,2025-07-24
154,13000000,15000000,44,wirausaha,592,buruk,2024-09-28
155,7000000,8000000,21,karyawan_swasta,718,buruk,2025-01-08
156,10000000,8000000,20,karyawan_swasta,703,baik,2025-05-21
157,13000000,15000000,47,wirausaha,694,baik,2024-10-29
158,11000000,9000000,18,wirausaha,727,baik,2025-05-04
159,10000000,9000000,38,wirausaha,747,baik,2025-03-05
160,7000000,8000000,25,karyawan_swasta,595,baik,2025-07-22
161,5000000,6000000,61,karyawan_swasta,621,baik,2025-06-14
162,5000000,6000000,39,wirausaha,789,baik,2025-08-18
163,8000000,9000000,55,karyawan_swasta,730,baik,2024-10-02
164,7000000,8000000,54,karyawan_swasta,579,buruk,2024-11-27
165,14000000,16000000,38,wirausaha,702,baik,2024-11-21
166,13000000,15000000,59,pns,534,buruk,2024-09-18
167,9000000,10000000,51,karyawan_swasta,658,baik,2024-10-11
168,5000000,6000000,34,karyawan_swasta,763,baik,2025-04-14
169,10000000,11000000,19,karyawan_swasta,850,baik,2025-04-12
170,7000000,6000000,56,karyawan_swasta,738,baik,2025-02-05
171,13000000,15000000,18,karyawan_swasta,705,baik,2025-05-20
172,15000000,17000000,68,wirausaha,691,baik,2025-07-11
173,15000000,17000000,37,karyawan_swasta,761,buruk,2024-11-16
174,14000000,16000000,32,wirausaha,829,baik,2025-04-24
175,9000000,11000000,21,karyawan_swasta,724,baik,2025-03-22
176,6000000,7000000,55,wirausaha,674,baik,2025-02-06
177,8000000,7000000,60,karyawan_swasta,681,baik,2024-11-23
178,8000000,7000000,18,karyawan_swasta,597,baik,2025-07-10
179,9000000,11000000,40,karyawan_swasta,697,baik,2024-11-27
180,9000000,7000000,25,karyawan_swasta,850,baik,2025-08-19
181,11000000,13000000,38,wirausaha,581,baik,2025-08-10
182,10000000,11000000,41,karyawan_swasta,789,baik,2025-08-04
183,11000000,12000000,37,karyawan_swasta,778,baik,2024-10-04
184,14000000,17000000,34,karyawan_swasta,650,baik,2025-02-26
185,10000000,12000000,37,karyawan_swasta,656,baik,2025-06-08
186,7000000,8000000,53,karyawan_swasta,756,baik,2025-01-26
187,7000000,6000000,43,wirausaha,633,buruk,2025-06-26
188,8000000,7000000,50,karyawan_swasta,801,baik,2024-12-19
189,13000000,14000000,18,wirausaha,631,buruk,2024-12-12
190,15000000,17000000,69,pns,547,buruk,2024-12-07
191,8000000,9000000,58,wirausaha,594,baik,2025-08-12
192,9000000,11000000,46,wirausaha,632,baik,2024-09-22
193,14000000,12000000,18,karyawan_swasta,705,baik,2025-02-13
194,6000000,7000000,18,wirausaha,700,baik,2024-11-12
195,5000000,6000000,68,wirausaha,629,buruk,2025-09-03
196,9000000,10000000,30,karyawan_swasta,646,baik,2025-08-03
197,10000000,8000000,36,wirausaha,728,baik,2025-06-20
198,12000000,11000000,44,wirausaha,618,buruk,2025-08-14
199,7000000,6000000,53,wirausaha,750,baik,2025-09-12
200,9000000,8000000,31,wirausaha,602,baik,2025-02-19
201,8000000,9000000,18,wirausaha,777,baik,2025-01-03
202,8000000,9000000,28,karyawan_swasta,721,baik,2025-03-31
203,8000000,9000000,47,wirausaha,791,baik,2025-06-13
204,13000000,15000000,42,wirausaha,698,baik,2025-03-10
205,9000000,11000000,55,wirausaha,751,baik,2025-05-29
206,13000000,15000000,65,wirausaha,681,baik,2024-09-15
207,9000000,10000000,18,wirausaha,711,baik,2024-12-04
208,9000000,10000000,38,karyawan_swasta,692,baik,2024-12-07
209,13000000,16000000,27,wirausaha,699,baik,2025-03-14
210,10000000,12000000,25,wirausaha,727,baik,2025-01-02
211,6000000,5000000,28,karyawan_swasta,615,buruk,2025-07-17
212,9000000,10000000,39,wirausaha,639,baik,2025-09-03
213,14000000,16000000,43,wirausaha,632,baik,2024-11-28
214,13000000,12000000,61,wirausaha,687,baik,2025-09-09
215,12000000,13000000,42,wirausaha,743,baik,2025-02-06
216,5000000,6000000,50,wirausaha,675,baik,2025-05-19
217,7000000,8000000,53,wirausaha,618,baik,2024-12-21
218,10000000,11000000,26,wirausaha,777,baik,2024-10-14
219,15000000,17000000,19,wirausaha,679,baik,2024-12-31
220,11000000,12000000,47,wirausaha,808,baik,2025-07-16
221,12000000,10000000,32,karyawan_swasta,609,baik,2025-01-10
222,5000000,6000000,54,wirausaha,764,baik,2025-08-01
223,13000000,15000000,34,karyawan_swasta,720,baik,2024-10-01
224,10000000,12000000,36,wirausaha,756,baik,2025-02-09
225,12000000,13000000,44,wirausaha,621,baik,2025-07-14
226,12000000,10000000,40,wirausaha,633,baik,2024-12-02
227,6000000,7000000,41,karyawan_swasta,734,baik,2025-01-10
228,14000000,16000000,29,wirausaha,661,baik,2024-12-05
229,15000000,18000000,36,karyawan_swasta,743,baik,2025-06-30
230,8000000,10000000,40,karyawan_swasta,655,baik,2025-02-08
231,16000000,18000000,46,karyawan_swasta,712,baik,2025-04-27
232,12000000,10000000,44,wirausaha,703,baik,2024-10-19
233,11000000,13000000,32,karyawan_swasta,656,buruk,2025-09-02
234,7000000,6000000,40,wirausaha,850,baik,2025-01-23
235,15000000,17000000,51,wirausaha,514,buruk,2025-08-09
236,9000000,8000000,56,wirausaha,611,baik,2025-03-04
237,10000000,9000000,39,karyawan_swasta,657,baik,2025-05-02
238,7000000,6000000,22,wirausaha,850,baik,2025-08-29
239,11000000,13000000,30,wirausaha,650,baik,2024-11-22
240,6000000,7000000,30,wirausaha,839,baik,2025-08-13
241,10000000,11000000,40,wirausaha,700,baik,2024-12-13
242,7000000,8000000,61,wirausaha,599,baik,2024-10-27
243,7000000,8000000,33,wirausaha,692,baik,2024-12-11
244,10000000,12000000,34,wirausaha,669,baik,2025-03-07
245,9000000,8000000,23,wirausaha,645,baik,2025-01-09
246,11000000,9000000,40,karyawan_swasta,646,baik,2025-01-24
247,12000000,14000000,25,wirausaha,701,baik,2025-05-29
248,7000000,8000000,46,karyawan_swasta,764,baik,2025-04-23
249,14000000,12000000,43,wirausaha,552,buruk,2025-01-27
250,9000000,11000000,48,wirausaha,850,baik,2025-01-23
251,8000000,9000000,20,wirausaha,673,buruk,2024-12-16
252,13000000,12000000,25,wirausaha,711,baik,2025-08-01
253,10000000,9000000,52,wirausaha,850,baik,2025-06-02
254,12000000,14000000,22,wirausaha,828,baik,2024-12-23
255,12000000,13000000,33,pns,850,baik,2025-05-15
256,11000000,12000000,30,wirausaha,750,baik,2024-11-23
257,8000000,7000000,28,karyawan_swasta,726,baik,2025-01-30
258,8000000,9000000,33,wirausaha,718,baik,2025-04-09
259,9000000,8000000,30,karyawan_swasta,721,baik,2024-11-22
260,15000000,13000000,63,karyawan_swasta,724,baik,2025-06-28
261,12000000,10000000,42,wirausaha,635,baik,2025-03-06
262,11000000,13000000,18,karyawan_swasta,710,buruk,2025-03-13
263,12000000,14000000,50,wirausaha,850,baik,2025-02-24
264,15000000,17000000,34,wirausaha,646,baik,2025-01-25
265,11000000,12000000,29,wirausaha,670,baik,2024-11-10
266,9000000,11000000,32,wirausaha,611,baik,2024-11-02
267,7000000,8000000,46,wirausaha,571,baik,2025-01-28
268,12000000,10000000,18,karyawan_swasta,657,baik,2025-08-24
269,7000000,8000000,51,karyawan_swasta,718,buruk,2025-08-30
270,6000000,7000000,24,wirausaha,693,baik,2025-08-11
271,9000000,10000000,45,wirausaha,850,baik,2025-05-07
272,13000000,11000000,32,karyawan_swasta,686,buruk,2025-08-17
273,7000000,8000000,34,karyawan_swasta,687,baik,2025-02-28
274,13000000,15000000,50,wirausaha,737,baik,2025-01-08
275,13000000,15000000,53,wirausaha,820,baik,2024-12-24
276,5000000,4000000,18,karyawan_swasta,838,baik,2025-02-28
277,11000000,13000000,42,karyawan_swasta,747,baik,2025-07-12
278,8000000,9000000,34,karyawan_swasta,702,baik,2024-11-11
279,7000000,8000000,40,wirausaha,580,baik,2025-07-06
280,13000000,11000000,22,karyawan_swasta,810,baik,2025-03-05
281,8000000,9000000,31,wirausaha,797,baik,2024-11-15
282,12000000,14000000,18,wirausaha,661,baik,2025-07-07
283,9000000,8000000,38,wirausaha,731,baik,2024-12-30
284,11000000,10000000,20,pns,806,baik,2025-09-12
285,12000000,10000000,18,wirausaha,724,baik,2024-10-15
286,15000000,17000000,46,wirausaha,758,baik,2025-08-27
287,10000000,12000000,41,wirausaha,655,baik,2025-02-06
288,12000000,11000000,35,pns,723,buruk,2025-01-19
289,12000000,14000000,46,karyawan_swasta,802,baik,2025-04-04
290,13000000,15000000,26,wirausaha,525,buruk,2024-12-18
291,10000000,12000000,33,wirausaha,777,baik,2024-12-10
292,14000000,12000000,50,wirausaha,789,baik,2025-06-22
293,8000000,7000000,36,wirausaha,627,baik,2025-02-12
294,19000000,23000000,49,karyawan_swasta,715,baik,2025-04-27
295,13000000,15000000,18,pns,846,baik,2025-01-30
296,5000000,4000000,55,wirausaha,760,baik,2025-05-16
297,15000000,18000000,58,wirausaha,644,baik,2024-12-23
298,9000000,8000000,43,pns,833,baik,2025-01-09
299,12000000,10000000,30,wirausaha,760,baik,2025-05-31
300,6000000,7000000,46,pns,585,buruk,2025-06-22
301,13000000,16000000,37,wirausaha,623,baik,2024-09-22
302,6000000,5000000,24,karyawan_swasta,603,buruk,2025-02-22
303,11000000,12000000,52,karyawan_swasta,616,baik,2024-10-10
304,8000000,9000000,38,pns,672,baik,2025-03-22
305,12000000,14000000,31,karyawan_swasta,637,baik,2025-04-26
306,6000000,5000000,55,karyawan_swasta,778,baik,2025-04-21
307,8000000,7000000,26,wirausaha,728,baik,2025-04-10
308,9000000,11000000,18,wirausaha,698,baik,2024-10-20
309,10000000,11000000,30,wirausaha,635,baik,2024-11-22
310,13000000,15000000,41,wirausaha,670,baik,2025-05-16
311,10000000,12000000,42,pns,645,baik,2025-02-16
312,6000000,7000000,20,wirausaha,707,baik,2024-11-05
313,7000000,8000000,61,wirausaha,770,baik,2025-02-07
314,5000000,6000000,41,wirausaha,850,baik,2025-01-06
315,7000000,6000000,24,wirausaha,713,baik,2024-10-24
316,7000000,8000000,22,wirausaha,630,baik,2025-02-22
317,8000000,6000000,29,wirausaha,636,buruk,2025-05-05
318,9000000,7000000,27,pns,673,buruk,2025-03-03
319,10000000,11000000,26,karyawan_swasta,688,baik,2024-11-28
320,10000000,8000000,21,wirausaha,717,baik,2025-04-20
321,10000000,11000000,30,wirausaha,756,buruk,2024-10-22
322,13000000,15000000,44,karyawan_swasta,630,baik,2025-04-13
323,9000000,10000000,37,wirausaha,681,baik,2025-07-01
324,12000000,10000000,47,wirausaha,748,baik,2025-07-25
325,10000000,8000000,36,karyawan_swasta,625,baik,2024-12-14
326,13000000,16000000,29,karyawan_swasta,820,baik,2024-09-28
327,11000000,13000000,39,wirausaha,786,baik,2024-09-18
328,9000000,11000000,55,wirausaha,850,baik,2024-11-01
329,5000000,4000000,57,wirausaha,690,baik,2025-03-22
330,11000000,13000000,22,wirausaha,653,baik,2025-05-25
331,9000000,10000000,22,pns,850,baik,2025-01-08
332,9000000,10000000,39,karyawan_swasta,816,baik,2024-11-17
333,10000000,12000000,46,karyawan_swasta,699,baik,2025-05-31
334,9000000,10000000,31,wirausaha,645,buruk,2025-09-11
335,8000000,9000000,41,wirausaha,680,baik,2024-12-08
336,10000000,12000000,27,wirausaha,777,baik,2025-03-10
337,13000000,11000000,35,wirausaha,769,baik,2024-11-12
338,10000000,11000000,36,karyawan_swasta,701,baik,2025-03-18
339,10000000,11000000,42,wirausaha,745,buruk,2025-02-16
340,10000000,9000000,40,karyawan_swasta,614,baik,2025-07-07
341,13000000,14000000,45,wirausaha,620,buruk,2025-02-27
342,12000000,10000000,50,wirausaha,640,buruk,2024-11-17
343,5000000,6000000,51,wirausaha,643,baik,2025-05-22
344,12000000,14000000,37,wirausaha,641,baik,2024-09-18
345,9000000,7000000,54,pns,841,baik,2025-04-03
346,8000000,6000000,31,wirausaha,784,baik,2025-08-09
347,8000000,7000000,28,pns,755,baik,2025-08-12
348,7000000,8000000,32,wirausaha,762,baik,2025-04-06
349,12000000,14000000,50,wirausaha,841,baik,2025-06-24
350,11000000,9000000,45,karyawan_swasta,721,baik,2025-06-21
351,6000000,7000000,35,karyawan_swasta,690,baik,2025-06-05
352,13000000,16000000,30,wirausaha,749,baik,2025-04-14
353,16000000,13000000,55,wirausaha,797,baik,2025-03-10
354,8000000,7000000,30,karyawan_swasta,709,baik,2025-08-09
355,9000000,7000000,38,karyawan_swasta,637,buruk,2025-02-12
356,8000000,9000000,29,wirausaha,717,baik,2024-10-27
357,12000000,10000000,31,karyawan_swasta,665,baik,2024-12-04
358,11000000,13000000,43,wirausaha,556,buruk,2024-09-19
359,10000000,11000000,39,wirausaha,800,baik,2025-08-20
360,11000000,13000000,26,karyawan_swasta,644,buruk,2025-05-10
361,8000000,9000000,40,wirausaha,616,buruk,2025-05-18
362,7000000,8000000,41,wirausaha,738,baik,2025-01-09
363,7000000,8000000,37,wirausaha,692,baik,2024-11-23
364,10000000,12000000,18,wirausaha,673,baik,2025-07-12
365,7000000,6000000,25,karyawan_swasta,602,buruk,2025-03-25
366,10000000,8000000,32,wirausaha,758,baik,2025-05-20
367,10000000,11000000,30,wirausaha,636,buruk,2024-12-18
368,10000000,11000000,18,wirausaha,806,baik,2025-04-05
369,10000000,11000000,31,wirausaha,785,baik,2025-02-15
370,8000000,7000000,36,karyawan_swasta,641,buruk,2024-12-30
371,6000000,7000000,48,karyawan_swasta,766,baik,2025-06-11
372,10000000,12000000,18,wirausaha,634,baik,2024-10-24
373,8000000,7000000,40,karyawan_swasta,661,baik,2025-08-16
374,8000000,9000000,39,wirausaha,675,buruk,2025-03-25
375,6000000,7000000,54,wirausaha,566,buruk,2025-09-11
376,11000000,13000000,34,wirausaha,825,baik,2025-09-12
377,8000000,7000000,46,wirausaha,783,baik,2025-01-31
378,16000000,18000000,22,wirausaha,730,baik,2025-02-26
379,12000000,11000000,46,wirausaha,744,baik,2024-09-20
380,8000000,9000000,57,pns,713,baik,2024-10-28
381,13000000,14000000,45,karyawan_swasta,684,baik,2024-11-28
382,11000000,12000000,22,wirausaha,701,baik,2025-04-03
383,9000000,10000000,29,karyawan_swasta,778,baik,2024-12-13
384,12000000,14000000,24,pns,804,baik,2024-11-17
385,11000000,12000000,50,karyawan_swasta,695,baik,2024-09-25
386,8000000,9000000,26,wirausaha,583,baik,2025-04-21
387,14000000,16000000,34,wirausaha,835,baik,2025-03-03
388,5000000,6000000,21,wirausaha,640,baik,2025-06-13
389,12000000,14000000,18,wirausaha,766,baik,2024-10-05
390,9000000,11000000,23,karyawan_swasta,712,baik,2025-01-20
391,12000000,13000000,29,karyawan_swasta,770,baik,2025-03-22
392,8000000,10000000,41,pns,581,baik,2025-05-11
393,8000000,9000000,42,wirausaha,761,baik,2025-07-18
394,6000000,5000000,18,karyawan_swasta,662,baik,2025-08-26
395,5000000,6000000,33,wirausaha,595,baik,2025-06-05
396,11000000,12000000,21,wirausaha,620,buruk,2024-12-31
397,7000000,8000000,45,karyawan_swasta,648,buruk,2025-06-08
398,9000000,7000000,54,pns,850,buruk,2025-04-02
399,6000000,7000000,32,karyawan_swasta,654,baik,2025-06-13
400,8000000,9000000,50,wirausaha,769,baik,2024-12-18
401,14000000,16000000,63,karyawan_swasta,765,baik,2025-01-06
402,10000000,11000000,57,wirausaha,617,baik,2025-03-05
403,7000000,8000000,18,wirausaha,602,buruk,2025-04-17
404,12000000,10000000,24,karyawan_swasta,850,baik,2025-01-28
405,10000000,9000000,41,wirausaha,774,baik,2025-09-09
406,12000000,14000000,38,karyawan_swasta,638,baik,2025-03-29
407,5000000,6000000,42,wirausaha,671,baik,2024-09-24
408,10000000,12000000,32,wirausaha,756,baik,2025-01-27
409,9000000,10000000,31,wirausaha,675,baik,2025-08-31
410,7000000,8000000,42,karyawan_swasta,544,buruk,2025-02-06
411,13000000,16000000,43,wirausaha,547,baik,2025-04-10
412,9000000,11000000,18,karyawan_swasta,833,baik,2025-01-16
413,13000000,15000000,32,karyawan_swasta,702,baik,2025-06-07
414,10000000,9000000,37,wirausaha,743,baik,2025-01-31
415,10000000,9000000,41,karyawan_swasta,674,buruk,2024-09-29
416,8000000,9000000,25,wirausaha,743,baik,2024-10-03
417,9000000,10000000,30,wirausaha,639,baik,2025-08-23
418,6000000,5000000,18,pns,585,buruk,2024-10-20
419,10000000,8000000,51,wirausaha,661,buruk,2025-05-29
420,9000000,11000000,34,pns,697,baik,2025-02-02
421,14000000,12000000,28,karyawan_swasta,699,baik,2025-03-19
422,11000000,9000000,37,pns,742,baik,2024-12-08
423,13000000,15000000,44,wirausaha,793,baik,2024-11-01
424,10000000,11000000,23,wirausaha,683,baik,2025-04-19
425,11000000,9000000,39,karyawan_swasta,763,baik,2025-06-13
426,11000000,13000000,19,wirausaha,650,buruk,2025-04-24
427,6000000,7000000,35,karyawan_swasta,587,buruk,2024-12-25
428,7000000,8000000,28,wirausaha,658,baik,2025-01-12
429,7000000,8000000,33,wirausaha,707,baik,2025-07-11
430,12000000,14000000,29,wirausaha,649,buruk,2025-03-16
431,10000000,11000000,61,karyawan_swasta,761,baik,2024-12-07
432,8000000,10000000,53,wirausaha,848,baik,2024-12-31
433,11000000,9000000,33,wirausaha,770,baik,2025-06-03
434,16000000,18000000,26,wirausaha,765,baik,2024-11-10
435,9000000,11000000,35,wirausaha,746,baik,2025-07-21
436,8000000,9000000,30,pns,569,buruk,2025-04-01
437,14000000,16000000,24,karyawan_swasta,499,buruk,2025-07-19
438,14000000,12000000,34,pns,821,baik,2025-04-02
439,9000000,8000000,47,karyawan_swasta,763,baik,2025-06-29
440,11000000,9000000,30,wirausaha,658,buruk,2025-04-11
441,12000000,14000000,19,karyawan_swasta,641,baik,2025-05-13
442,9000000,10000000,53,karyawan_swasta,764,baik,2025-01-30
443,8000000,7000000,33,karyawan_swasta,742,baik,2024-10-05
444,13000000,15000000,38,karyawan_swasta,711,baik,2024-10-08
445,9000000,10000000,47,wirausaha,666,baik,2024-12-26
446,5000000,6000000,34,karyawan_swasta,837,baik,2024-12-14
447,13000000,11000000,37,wirausaha,705,baik,2025-04-02
